transaction_id,amount,hour_of_day,merchant_category,distance_from_home_km,chip_used,transaction_count_24h,IsFraud
T000541,219.2,2,Online,168.5,Yes,0,No
T000542,39.05,22,Electronics,216.0,Yes,2,No
T000543,45.2,19,Travel,32.4,Yes,3,No
T000544,29.72,18,Groceries,26.4,Yes,3,No
T000545,190.55,1,Travel,46.7,Yes,0,No
T000546,46.88,10,Online,149.2,No,5,No
T000547,110.68,7,Groceries,133.9,No,2,Yes
T000548,56.66,19,Electronics,226.3,Yes,1,No
T000549,137.63,15,Gas,96.3,No,2,No
T000550,290.72,11,Electronics,247.4,Yes,3,No
T000551,46.65,6,Electronics,14.9,Yes,1,No
T000552,70.93,15,Travel,43.5,No,2,Yes
T000553,53.3,4,Online,51.9,Yes,5,No
T000554,46.48,16,Gas,180.3,Yes,1,No
T000555,27.42,7,Electronics,372.2,Yes,5,No
T000556,15.71,0,Travel,326.6,Yes,1,No
T000557,4.5,21,Travel,168.2,Yes,1,No
T000558,54.82,0,Gas,79.2,Yes,2,No
T000559,47.24,6,Gas,261.1,Yes,2,No
T000560,120.62,19,Gas,524.6,No,2,No
T000561,40.37,17,Travel,402.5,Yes,2,No
T000562,9.38,16,Gas,364.6,Yes,3,No
T000563,106.6,7,Travel,205.3,Yes,1,No
T000564,574.8,8,Groceries,413.1,No,2,No
T000565,35.93,15,Electronics,18.2,No,2,No
T000566,121.06,12,Online,262.4,No,2,No
T000567,165.37,12,Online,352.6,No,3,No
T000568,18.53,12,Groceries,323.5,Yes,0,No
T000569,21.03,20,Electronics,132.9,Yes,2,No
T000570,92.84,4,Electronics,189.8,Yes,2,No
T000571,27.01,14,Electronics,330.5,Yes,0,No
T000572,13.41,0,Travel,101.5,Yes,1,No
T000573,72.53,0,Groceries,173.8,Yes,2,No
T000574,523.83,2,Groceries,131.1,Yes,3,Yes
T000575,11.17,22,Travel,214.3,Yes,2,No
T000576,22.43,23,Travel,161.4,No,2,No
T000577,85.86,15,Groceries,12.2,No,3,No
T000578,28.66,11,Gas,29.7,Yes,2,No
T000579,34.26,17,Groceries,294.1,No,2,Yes
T000580,41.35,12,Groceries,267.4,Yes,1,No
T000581,34.75,5,Groceries,106.5,Yes,1,No
T000582,41.1,0,Groceries,232.4,Yes,4,No
T000583,28.84,0,Online,36.7,Yes,2,No
T000584,118.27,11,Gas,323.1,No,0,No
T000585,35.04,15,Online,304.6,Yes,2,No
T000586,26.86,2,Gas,200.1,Yes,3,No
T000587,65.35,6,Groceries,42.3,No,0,Yes
T000588,108.05,13,Online,104.7,No,3,No
T000589,75.08,14,Gas,112.7,No,1,No
T000590,88.01,14,Online,54.3,Yes,1,No
T000591,189.14,10,Electronics,325.1,No,0,No
T000592,6.92,20,Gas,384.2,No,2,No
T000593,15.77,0,Online,428.3,No,1,No
T000594,20.41,2,Gas,361.7,Yes,4,No
T000595,14.89,23,Gas,202.0,Yes,4,No
T000596,60.11,11,Travel,234.9,Yes,1,No
T000597,56.21,7,Electronics,23.4,Yes,6,Yes
T000598,172.53,12,Travel,131.4,No,0,No
T000599,45.71,3,Groceries,3.8,No,3,Yes
T000600,16.19,17,Online,33.8,Yes,1,No
T000601,238.7,14,Online,75.5,Yes,1,No
T000602,187.67,16,Travel,241.3,No,1,No
T000603,73.42,16,Groceries,16.9,No,0,No
T000604,354.06,12,Travel,26.8,No,3,No
T000605,1019.01,14,Electronics,164.8,Yes,1,No
T000606,30.99,19,Online,21.1,Yes,4,No
T000607,30.12,20,Travel,183.3,No,2,No
T000608,132.55,4,Groceries,355.9,Yes,3,No
T000609,40.94,6,Electronics,19.1,Yes,1,No
T000610,131.21,7,Gas,95.8,Yes,1,No
T000611,126.96,21,Electronics,390.0,Yes,2,No
T000612,33.0,18,Travel,330.0,Yes,2,No
T000613,167.59,15,Travel,438.8,Yes,2,No
T000614,127.63,3,Online,667.6,No,1,No
T000615,42.91,12,Electronics,219.2,Yes,1,No
T000616,180.42,13,Online,12.6,No,1,No
T000617,1277.1,17,Online,244.4,Yes,1,No
T000618,124.52,0,Electronics,88.5,Yes,0,No
T000619,14.12,17,Travel,340.1,Yes,5,No
T000620,42.8,17,Travel,217.4,Yes,5,No
T000621,36.46,19,Gas,165.6,Yes,0,No
T000622,26.2,2,Gas,11.9,Yes,4,Yes
T000623,102.39,13,Online,26.6,Yes,5,No
T000624,397.77,20,Gas,268.0,Yes,2,No
T000625,71.0,21,Online,306.6,Yes,1,No
T000626,20.97,16,Online,167.8,Yes,0,No
T000627,96.55,2,Groceries,42.0,Yes,3,No
T000628,17.02,7,Electronics,40.7,Yes,3,No
T000629,138.15,22,Travel,94.7,Yes,2,No
T000630,71.3,15,Groceries,168.9,Yes,3,No
T000631,33.0,18,Online,132.0,Yes,0,No
T000632,25.72,11,Travel,13.0,Yes,2,No
T000633,86.15,1,Online,250.2,Yes,3,No
T000634,183.13,13,Groceries,275.6,No,2,No
T000635,219.36,7,Electronics,325.9,Yes,2,No
T000636,65.34,19,Travel,0.5,No,1,Yes
T000637,75.51,0,Online,11.4,No,3,No
T000638,45.94,15,Electronics,513.3,Yes,3,No
T000639,21.82,23,Groceries,43.7,No,2,No
T000640,24.53,8,Gas,46.4,Yes,5,No
T000641,218.66,14,Travel,55.9,No,0,No
T000642,27.26,4,Online,187.5,Yes,0,No
T000643,258.89,21,Travel,345.2,Yes,3,No
T000644,30.56,21,Electronics,217.7,Yes,2,No
T000645,10.63,21,Travel,214.1,Yes,4,No
T000646,30.67,0,Groceries,216.7,No,2,Yes
T000647,75.78,18,Electronics,145.4,Yes,1,No
T000648,46.23,20,Gas,241.6,Yes,1,No
T000649,93.0,7,Online,55.3,Yes,1,No
T000650,486.11,13,Gas,1.5,Yes,1,No
T000651,74.36,19,Electronics,187.1,Yes,1,No
T000652,54.07,11,Gas,125.4,Yes,2,No
T000653,33.35,21,Electronics,266.5,No,0,No
T000654,43.69,21,Groceries,335.7,Yes,1,No
T000655,282.48,13,Electronics,241.6,Yes,1,No
T000656,175.43,0,Gas,70.3,No,4,Yes
T000657,286.79,4,Online,16.0,No,6,No
T000658,70.41,3,Gas,26.4,Yes,3,No
T000659,29.61,0,Travel,32.4,Yes,0,No
T000660,59.06,13,Travel,26.0,Yes,2,No
T000661,43.57,22,Electronics,31.4,Yes,0,No
T000662,230.92,23,Gas,397.1,Yes,2,No
T000663,118.02,11,Gas,63.4,Yes,2,No
T000664,8.64,8,Online,25.3,No,1,No
T000665,17.15,21,Electronics,223.2,No,2,No
T000666,41.77,12,Gas,200.5,No,1,No
T000667,307.4,10,Electronics,61.5,No,0,No
T000668,28.03,9,Electronics,203.0,No,2,No
T000669,65.33,0,Electronics,390.0,Yes,2,Yes
T000670,82.68,21,Online,47.3,Yes,2,No
T000671,94.01,5,Gas,182.6,Yes,4,No
T000672,101.34,15,Gas,143.6,No,3,No
T000673,31.51,7,Travel,75.3,Yes,1,No
T000674,145.6,5,Electronics,203.5,Yes,1,No
T000675,29.03,19,Electronics,235.6,No,1,No
T000676,137.87,17,Gas,168.5,Yes,0,No
T000677,38.6,16,Electronics,333.3,Yes,1,No
T000678,34.9,7,Gas,84.3,No,3,No
T000679,51.12,0,Gas,168.5,Yes,4,Yes
T000680,24.02,3,Online,78.0,No,1,Yes
T000681,84.21,21,Travel,35.2,No,3,No
T000682,426.16,19,Gas,144.5,No,1,No
T000683,5.99,5,Electronics,512.8,Yes,2,No
T000684,78.93,21,Online,211.8,Yes,1,No
T000685,5.2,12,Online,42.4,No,6,No
T000686,82.64,13,Electronics,3.3,No,3,Yes
T000687,6.7,6,Electronics,161.2,Yes,0,No
T000688,27.53,17,Gas,66.0,Yes,1,No
T000689,64.55,20,Electronics,112.7,Yes,2,No
T000690,14.01,3,Online,412.9,Yes,1,No
T000691,61.79,13,Electronics,479.9,Yes,1,No
T000692,104.04,6,Electronics,87.3,Yes,5,No
T000693,120.0,4,Online,167.2,No,4,No
T000694,14.57,16,Online,93.4,Yes,2,No
T000695,118.03,11,Gas,156.3,Yes,1,No
T000696,32.16,15,Groceries,153.3,Yes,1,No
T000697,92.84,14,Gas,427.2,Yes,1,No
T000698,165.14,13,Electronics,336.0,No,1,No
T000699,31.58,17,Travel,186.2,Yes,3,No
T000700,86.26,20,Groceries,353.0,Yes,2,No
T000701,26.09,8,Electronics,202.7,Yes,5,No
T000702,17.43,7,Travel,21.3,Yes,1,No
T000703,175.21,4,Travel,112.5,Yes,2,No
T000704,13.63,11,Travel,77.6,No,3,No
T000705,175.11,13,Online,65.1,Yes,3,No
T000706,149.0,5,Electronics,230.2,No,2,No
T000707,15.61,18,Travel,248.8,No,1,No
T000708,33.27,6,Electronics,27.4,Yes,1,No
T000709,51.72,3,Gas,118.6,No,1,No
T000710,15.03,16,Travel,62.8,Yes,2,No
T000711,54.78,0,Electronics,253.8,Yes,0,Yes
T000712,30.67,16,Groceries,153.4,Yes,1,No
T000713,41.05,1,Travel,26.9,No,3,Yes
T000714,14.55,7,Groceries,150.7,Yes,1,No
T000715,18.18,16,Groceries,60.3,Yes,1,No
T000716,42.54,5,Travel,65.1,No,2,No
T000717,82.14,22,Groceries,184.0,Yes,5,No
T000718,121.0,20,Online,83.6,Yes,0,No
T000719,7.91,0,Groceries,15.6,Yes,1,No
T000720,38.19,23,Travel,120.3,Yes,3,No
T000721,429.19,4,Groceries,190.1,No,3,Yes
T000722,70.88,14,Electronics,41.8,Yes,1,No
T000723,12.74,13,Groceries,82.5,Yes,2,No
T000724,26.63,1,Electronics,5.9,No,0,No
T000725,71.93,20,Electronics,139.2,Yes,2,No
T000726,133.05,5,Groceries,110.2,No,2,Yes
T000727,177.72,14,Groceries,39.7,Yes,1,No
T000728,348.25,7,Groceries,132.2,Yes,2,No
T000729,84.06,3,Electronics,343.0,Yes,1,No
T000730,117.86,23,Gas,167.0,Yes,1,No
T000731,309.38,3,Online,7.4,Yes,3,No
T000732,432.68,6,Electronics,22.3,Yes,2,No
T000733,53.78,10,Travel,265.1,Yes,1,No
T000734,70.29,9,Travel,112.6,Yes,5,No
T000735,333.06,16,Travel,56.5,Yes,0,No
T000736,73.9,19,Travel,367.4,No,2,No
T000737,26.65,0,Groceries,211.0,Yes,1,No
T000738,94.32,9,Travel,248.9,Yes,2,No
T000739,37.52,4,Gas,451.9,Yes,2,No
T000740,149.29,10,Gas,25.9,Yes,3,No
T000741,34.15,15,Travel,119.9,No,2,No
T000742,429.4,2,Travel,335.9,Yes,1,Yes
T000743,52.37,15,Gas,61.6,Yes,2,No
T000744,55.89,8,Travel,25.6,Yes,3,No
T000745,74.32,12,Travel,103.0,No,4,No
T000746,13.16,21,Online,120.0,No,3,No
T000747,104.59,11,Groceries,17.1,No,1,No
T000748,165.71,11,Gas,244.3,No,1,No
T000749,3.91,18,Electronics,13.0,Yes,4,No
T000750,45.51,11,Travel,26.2,No,2,No
T000751,64.84,10,Online,194.8,No,1,No
T000752,45.77,12,Gas,343.7,No,1,No
T000753,113.22,17,Online,174.9,Yes,0,No
T000754,38.03,6,Travel,130.2,Yes,4,No
T000755,46.9,20,Electronics,81.9,Yes,3,No
T000756,54.82,8,Electronics,347.6,Yes,3,No
T000757,103.62,19,Online,89.4,Yes,1,No
T000758,21.17,6,Travel,96.1,Yes,2,No
T000759,110.69,1,Electronics,421.6,Yes,3,No
T000760,22.77,0,Travel,216.9,Yes,2,No
T000761,126.63,14,Gas,170.0,Yes,3,No
T000762,40.29,7,Online,34.3,Yes,4,No
T000763,8.88,3,Online,308.3,Yes,1,No
T000764,76.74,4,Electronics,208.6,Yes,0,No
T000765,37.07,12,Online,168.7,Yes,0,No
T000766,119.8,13,Groceries,12.4,Yes,1,No
T000767,101.68,5,Electronics,89.3,Yes,1,No
T000768,159.5,6,Gas,110.5,Yes,3,No
T000769,96.58,8,Travel,58.7,Yes,2,No
T000770,147.55,22,Travel,183.7,Yes,2,No
T000771,154.96,17,Electronics,241.8,Yes,3,No
T000772,166.17,20,Online,46.6,Yes,2,No
T000773,18.13,16,Travel,66.3,Yes,5,No
T000774,116.55,11,Gas,105.6,Yes,3,No
T000775,357.01,15,Groceries,23.3,Yes,5,No
T000776,32.8,17,Travel,300.3,Yes,5,No
T000777,101.88,15,Electronics,283.3,No,0,No
T000778,272.72,20,Groceries,115.9,Yes,4,No
T000779,120.36,7,Gas,67.1,Yes,2,No
T000780,27.82,10,Gas,589.3,No,1,Yes
T000781,45.75,6,Groceries,400.7,Yes,0,No
T000782,223.11,14,Groceries,35.6,Yes,1,No
T000783,23.12,1,Travel,272.6,Yes,3,Yes
T000784,136.95,12,Online,36.5,Yes,1,No
T000785,157.24,13,Gas,150.0,No,1,No
T000786,98.28,15,Groceries,140.6,Yes,2,No
T000787,111.9,0,Electronics,85.4,No,6,No
T000788,71.76,5,Travel,131.8,Yes,1,No
T000789,80.95,2,Electronics,272.3,Yes,3,No
T000790,65.77,22,Gas,287.0,Yes,0,No
T000791,64.51,7,Groceries,124.0,Yes,3,No
T000792,12.85,4,Travel,226.8,No,1,No
T000793,63.45,18,Online,530.2,No,1,No
T000794,126.8,0,Gas,97.7,Yes,5,No
T000795,53.1,3,Gas,245.6,Yes,0,No
T000796,35.57,23,Travel,108.3,Yes,0,No
T000797,101.55,9,Gas,132.1,No,0,No
T000798,15.24,20,Travel,19.4,Yes,1,No
T000799,6.14,4,Gas,419.3,Yes,4,No
T000800,66.33,23,Groceries,41.8,Yes,2,No
T000801,25.49,5,Electronics,413.3,No,3,Yes
T000802,13.85,11,Electronics,155.2,Yes,3,No
T000803,39.88,13,Online,321.4,No,2,No
T000804,41.92,8,Electronics,149.5,Yes,1,No
T000805,176.47,2,Online,126.6,Yes,1,No
T000806,63.65,1,Gas,255.1,Yes,6,No
T000807,123.61,6,Travel,50.7,Yes,0,No
T000808,126.82,14,Groceries,104.4,Yes,4,No
T000809,77.85,12,Gas,282.7,Yes,1,No
T000810,87.56,10,Gas,141.3,Yes,0,No
T000811,37.97,20,Travel,24.9,Yes,0,No
T000812,43.94,18,Electronics,335.5,Yes,4,No
T000813,75.61,10,Groceries,22.7,No,1,Yes
T000814,71.26,22,Travel,112.0,No,2,No
T000815,1441.16,20,Online,0.3,Yes,5,No
T000816,88.13,23,Electronics,70.2,Yes,3,No
T000817,29.16,16,Travel,219.0,No,3,No
T000818,18.47,6,Electronics,66.4,Yes,3,No
T000819,13.0,20,Travel,292.0,No,2,No
T000820,232.35,5,Travel,19.1,Yes,1,No
T000821,21.86,12,Electronics,161.4,Yes,4,No
T000822,127.24,8,Gas,78.2,No,1,No
T000823,126.32,23,Groceries,529.3,No,1,Yes
T000824,24.24,13,Electronics,32.5,Yes,1,No
T000825,84.26,19,Gas,290.1,No,0,No
T000826,149.94,17,Online,105.6,No,0,No
T000827,9.03,14,Groceries,274.8,Yes,2,No
T000828,102.59,21,Groceries,231.1,Yes,4,No
T000829,186.63,22,Electronics,104.0,No,2,No
T000830,49.02,1,Groceries,509.3,Yes,5,Yes
T000831,32.38,7,Groceries,491.7,Yes,4,No
T000832,34.64,1,Online,207.6,Yes,2,No
T000833,4.4,14,Gas,75.5,No,4,No
T000834,24.34,5,Travel,229.4,Yes,1,No
T000835,83.59,7,Travel,322.9,No,2,No
T000836,14.37,22,Groceries,206.6,No,1,No
T000837,51.33,7,Electronics,332.6,Yes,4,No
T000838,137.39,18,Online,99.5,No,3,No
T000839,45.87,23,Travel,61.0,Yes,0,No
T000840,134.35,8,Gas,80.9,Yes,4,No
T000841,16.65,20,Travel,309.0,Yes,3,No
T000842,39.42,9,Gas,109.0,Yes,3,No
T000843,224.36,14,Gas,158.9,Yes,4,No
T000844,22.79,0,Online,82.7,Yes,2,No
T000845,48.33,8,Electronics,509.2,Yes,3,No
T000846,2362.54,10,Online,460.1,No,2,No
T000847,105.45,18,Gas,207.7,Yes,2,No
T000848,63.08,9,Electronics,259.9,Yes,1,No
T000849,12.24,13,Travel,45.1,Yes,4,No
T000850,33.38,21,Gas,378.1,Yes,3,No
T000851,36.35,6,Travel,270.5,Yes,0,No
T000852,16.63,20,Gas,99.6,Yes,4,No
T000853,23.94,14,Electronics,83.1,Yes,4,No
T000854,86.22,4,Online,248.4,No,2,No
T000855,23.52,1,Gas,18.2,Yes,3,No
T000856,71.86,23,Online,8.0,Yes,4,No
T000857,10.48,7,Travel,230.4,Yes,4,No
T000858,14.19,5,Electronics,130.2,Yes,1,No
T000859,275.23,23,Online,83.6,No,6,Yes
T000860,135.06,4,Groceries,262.9,No,1,No
T000861,98.17,21,Electronics,30.1,No,1,No
T000862,103.57,14,Travel,95.5,No,3,No
T000863,39.01,8,Groceries,271.4,Yes,1,No
T000864,134.0,11,Gas,244.6,Yes,1,No
T000865,27.13,2,Online,42.7,Yes,5,Yes
T000866,123.46,18,Gas,9.2,No,2,Yes
T000867,30.19,6,Electronics,288.8,Yes,1,No
T000868,110.68,14,Travel,92.6,Yes,0,No
T000869,89.28,17,Gas,153.5,No,1,No
T000870,82.81,9,Groceries,89.8,No,2,No
T000871,10.97,0,Travel,147.6,Yes,2,No
T000872,24.29,17,Travel,457.2,No,1,Yes
T000873,147.31,19,Gas,204.9,No,2,Yes
T000874,43.07,2,Electronics,310.5,Yes,3,No
T000875,44.72,4,Electronics,16.9,Yes,4,No
T000876,36.94,0,Online,452.5,Yes,1,No
T000877,153.1,16,Electronics,197.4,Yes,3,No
T000878,65.75,16,Electronics,64.0,No,5,Yes
T000879,39.87,0,Gas,162.0,Yes,0,No
T000880,28.39,4,Gas,416.5,Yes,3,No
T000881,47.66,14,Groceries,359.7,No,0,No
T000882,39.6,8,Groceries,46.6,Yes,1,No
T000883,149.4,9,Electronics,129.7,Yes,2,No
T000884,63.11,10,Online,173.1,No,0,No
T000885,44.73,22,Groceries,191.8,No,1,No
T000886,1.33,11,Electronics,50.9,Yes,3,No
T000887,49.89,21,Groceries,15.5,Yes,1,No
T000888,70.89,7,Electronics,415.5,Yes,2,No
T000889,14.41,18,Gas,67.0,Yes,1,No
T000890,173.05,3,Gas,77.0,Yes,2,No
T000891,23.77,23,Travel,228.7,Yes,3,No
T000892,17.01,1,Gas,143.0,No,3,No
T000893,19.82,13,Travel,174.5,Yes,4,No
T000894,23.92,9,Electronics,125.9,Yes,2,No
T000895,43.04,13,Online,166.4,No,1,No
T000896,34.08,16,Travel,232.5,No,1,No
T000897,47.24,9,Online,195.7,No,2,No
T000898,33.58,6,Groceries,395.2,No,2,No
T000899,31.0,6,Online,129.6,Yes,2,No
T000900,5.74,19,Electronics,169.3,Yes,4,No
T000901,73.01,9,Gas,314.5,No,2,No
T000902,77.69,3,Groceries,340.4,Yes,2,No
T000903,180.19,20,Gas,124.8,Yes,0,No
T000904,20.14,15,Online,190.7,No,0,No
T000905,105.91,12,Gas,133.7,Yes,4,No
T000906,58.61,20,Travel,5.7,Yes,2,No
T000907,197.4,16,Electronics,28.4,Yes,5,No
T000908,124.62,9,Online,154.1,Yes,0,No
T000909,190.36,14,Electronics,288.3,No,3,No
T000910,66.33,20,Travel,114.9,Yes,4,No
T000911,56.33,4,Online,239.9,Yes,2,No
T000912,102.48,19,Travel,290.5,Yes,2,No
T000913,214.62,21,Travel,178.9,Yes,3,No
T000914,55.18,1,Gas,3.8,Yes,2,No
T000915,29.09,21,Groceries,107.2,No,2,No
T000916,81.35,3,Groceries,40.1,Yes,3,No
T000917,74.33,15,Online,109.8,Yes,0,Yes
T000918,18.63,12,Online,263.7,Yes,1,No
T000919,20.54,3,Electronics,270.7,Yes,1,No
T000920,36.02,1,Online,412.0,Yes,1,No
T000921,36.77,7,Electronics,42.3,No,2,No
T000922,88.67,20,Groceries,12.1,Yes,0,No
T000923,95.36,9,Travel,108.0,Yes,3,No
T000924,25.09,9,Gas,76.7,Yes,5,No
T000925,19.45,11,Gas,112.0,Yes,1,No
T000926,15.53,15,Travel,415.0,Yes,2,No
T000927,22.41,1,Groceries,211.6,Yes,1,No
T000928,61.17,8,Groceries,311.6,No,6,No
T000929,116.05,17,Electronics,375.7,Yes,2,No
T000930,65.73,15,Electronics,393.2,Yes,1,No
T000931,74.7,2,Electronics,22.0,Yes,4,No
T000932,15.21,5,Electronics,153.8,Yes,1,No
T000933,127.38,22,Gas,225.2,Yes,2,No
T000934,74.97,3,Online,44.2,Yes,1,No
T000935,73.84,12,Travel,159.6,Yes,0,No
T000936,50.56,19,Travel,91.2,No,3,Yes
T000937,76.8,2,Gas,393.7,No,3,No
T000938,55.18,15,Travel,200.2,Yes,1,No
T000939,46.97,19,Online,65.9,Yes,1,No
T000940,196.46,11,Gas,343.8,Yes,1,No
T000941,33.81,14,Online,118.3,No,0,No
T000942,67.44,2,Gas,56.2,Yes,4,Yes
T000943,25.76,0,Online,156.3,Yes,4,No
T000944,91.84,16,Travel,318.0,No,2,No
T000945,33.77,4,Travel,90.6,Yes,4,No
T000946,78.31,0,Gas,7.9,No,2,No
T000947,61.16,23,Travel,67.0,Yes,1,No
T000948,23.07,11,Gas,21.3,No,2,No
T000949,637.37,14,Travel,18.9,Yes,1,No
T000950,34.75,1,Groceries,134.5,Yes,1,Yes
T000951,94.44,9,Online,129.9,Yes,3,No
T000952,101.62,12,Groceries,322.2,Yes,2,No
T000953,16.11,9,Travel,125.1,Yes,3,No
T000954,73.77,16,Gas,47.6,Yes,1,No
T000955,30.61,22,Travel,370.9,Yes,1,No
T000956,24.35,14,Groceries,169.5,No,1,No
T000957,34.55,13,Travel,149.5,No,2,No
T000958,2141.6,13,Online,377.9,No,4,No
T000959,93.05,3,Groceries,331.2,No,2,No
T000960,27.68,3,Online,48.4,Yes,1,Yes
T000961,52.79,5,Electronics,40.0,Yes,0,No
T000962,128.46,20,Travel,314.4,Yes,1,No
T000963,205.51,7,Gas,48.6,No,4,No
T000964,82.67,13,Groceries,52.3,No,1,No
T000965,34.43,20,Travel,220.8,Yes,2,No
T000966,98.62,20,Electronics,84.6,Yes,4,No
T000967,21.97,18,Electronics,15.4,Yes,1,No
T000968,18.88,1,Electronics,340.7,Yes,3,No
T000969,272.57,0,Travel,6.2,No,2,No
T000970,19.6,8,Online,507.0,Yes,0,No
T000971,76.99,7,Online,69.0,Yes,1,No
T000972,426.68,6,Online,243.7,Yes,2,No
T000973,142.49,9,Travel,39.9,Yes,2,No
T000974,8.82,0,Groceries,114.5,Yes,0,No
T000975,127.91,5,Groceries,207.2,Yes,4,No
T000976,17.78,22,Gas,162.7,Yes,2,No
T000977,25.51,5,Travel,138.3,No,1,No
T000978,144.09,6,Electronics,114.9,Yes,0,No
T000979,171.27,10,Groceries,9.5,Yes,3,No
T000980,144.11,6,Electronics,101.9,No,3,No
T000981,667.76,19,Groceries,62.4,Yes,1,No
T000982,228.81,12,Electronics,108.1,Yes,2,No
T000983,126.49,23,Gas,39.7,Yes,1,No
T000984,57.33,0,Groceries,85.7,No,1,No
T000985,122.62,7,Gas,178.4,No,1,No
T000986,480.93,6,Online,41.9,Yes,2,No
T000987,92.77,11,Online,138.4,Yes,1,No
T000988,47.13,0,Travel,351.0,No,3,No
T000989,17.19,21,Groceries,222.2,Yes,0,No
T000990,45.15,12,Travel,77.6,Yes,1,No
T000991,209.81,4,Groceries,245.7,Yes,2,No
T000992,200.92,23,Travel,180.1,Yes,1,No
T000993,136.23,13,Groceries,289.9,Yes,2,No
T000994,28.34,15,Gas,14.4,No,0,Yes
T000995,84.04,23,Electronics,137.6,Yes,3,No
T000996,33.15,11,Travel,107.2,No,2,No
T000997,11.06,4,Groceries,349.3,Yes,1,No
T000998,93.57,17,Gas,75.7,No,1,No
T000999,9.21,5,Groceries,175.0,Yes,1,No
T001000,43.94,16,Travel,121.0,Yes,1,No
T001001,83.86,3,Groceries,69.8,No,0,Yes
T001002,42.28,18,Electronics,302.3,No,1,No
T001003,63.91,10,Gas,71.8,Yes,5,No
T001004,165.1,19,Travel,346.2,Yes,0,No
T001005,34.42,10,Electronics,139.1,No,2,No
T001006,24.37,22,Groceries,393.1,No,2,No
T001007,487.14,7,Gas,84.0,Yes,1,No
T001008,17.46,8,Travel,65.6,No,3,No
T001009,232.06,13,Online,15.3,Yes,3,No
T001010,4.09,12,Travel,0.5,Yes,2,No
T001011,181.08,8,Electronics,124.8,No,1,No
T001012,38.41,12,Groceries,119.1,No,3,No
T001013,71.6,17,Groceries,321.0,Yes,3,No
T001014,31.99,8,Travel,160.5,Yes,1,No
T001015,28.63,18,Gas,86.9,Yes,4,No
T001016,61.46,3,Gas,547.7,Yes,3,No
T001017,74.88,13,Groceries,131.6,No,5,No
T001018,21.92,5,Gas,88.2,Yes,3,No
T001019,94.29,1,Travel,177.9,No,0,No
T001020,69.28,5,Travel,57.0,No,2,No
T001021,158.66,23,Electronics,129.9,Yes,1,No
T001022,20.73,3,Online,167.5,No,1,Yes
T001023,15.59,2,Gas,126.4,Yes,0,Yes
T001024,167.57,8,Electronics,209.8,Yes,0,No
T001025,8.79,21,Gas,296.2,Yes,3,No
T001026,204.6,14,Gas,215.7,Yes,5,No
T001027,77.93,4,Gas,332.7,Yes,0,No
T001028,43.09,20,Groceries,367.6,Yes,1,No
T001029,89.38,16,Groceries,187.6,Yes,1,No
T001030,166.35,12,Travel,298.0,No,0,No
T001031,68.77,6,Groceries,429.6,No,3,No
T001032,192.35,18,Electronics,248.7,Yes,2,No
T001033,162.16,18,Electronics,240.2,Yes,2,No
T001034,130.46,6,Travel,414.4,Yes,4,No
T001035,17.19,7,Online,8.6,Yes,2,No
T001036,10.94,10,Travel,51.7,Yes,0,No
T001037,7.44,21,Gas,153.5,Yes,2,No
T001038,17.69,0,Groceries,198.6,No,3,No
T001039,150.2,23,Electronics,19.8,Yes,3,No
T001040,185.96,5,Groceries,251.7,No,4,No
T001041,49.09,0,Travel,52.3,No,2,No
T001042,73.68,1,Gas,211.5,Yes,1,No
T001043,11.91,7,Gas,252.4,Yes,3,No
T001044,62.18,22,Online,304.6,Yes,1,No
T001045,21.05,11,Travel,100.7,Yes,5,No
T001046,55.36,16,Electronics,295.6,No,2,No
T001047,100.78,4,Electronics,239.6,No,3,No
T001048,12.31,12,Gas,69.7,Yes,1,No
T001049,59.79,1,Travel,119.0,Yes,4,No
T001050,188.11,18,Electronics,58.7,No,3,No
T001051,38.79,21,Travel,211.6,Yes,4,No
T001052,15.29,21,Gas,404.9,Yes,1,No
T001053,124.24,2,Electronics,10.8,No,1,No
T001054,102.42,19,Electronics,15.8,No,2,Yes
T001055,34.81,18,Online,211.6,Yes,2,No
T001056,22.48,14,Electronics,162.0,No,2,No
T001057,59.0,17,Gas,164.5,No,3,No
T001058,550.33,5,Gas,46.5,Yes,3,No
T001059,35.52,22,Travel,92.8,Yes,0,No
T001060,30.11,6,Travel,121.4,Yes,4,No
T001061,65.93,10,Groceries,284.7,No,0,Yes
T001062,39.27,10,Groceries,141.9,Yes,1,No
T001063,93.63,16,Groceries,289.7,Yes,3,No
T001064,10.65,10,Groceries,247.3,Yes,1,No
T001065,182.54,19,Electronics,2.3,Yes,4,No
T001066,74.15,11,Gas,64.0,Yes,2,No
T001067,279.65,9,Gas,107.5,Yes,1,No
T001068,83.64,2,Online,122.2,No,4,Yes
T001069,79.08,19,Travel,97.2,Yes,2,No
T001070,30.96,20,Online,22.1,Yes,1,No
T001071,19.62,11,Groceries,198.3,No,3,No
T001072,75.63,19,Gas,143.1,Yes,0,No
T001073,52.06,7,Gas,32.1,Yes,5,No
T001074,34.19,6,Groceries,46.4,Yes,2,No
T001075,103.64,13,Groceries,87.3,No,2,No
T001076,15.05,10,Online,214.8,No,1,No
T001077,25.67,3,Travel,179.3,Yes,3,No
T001078,30.37,19,Travel,65.6,Yes,2,No
T001079,14.87,6,Groceries,161.3,Yes,0,No
T001080,25.74,7,Travel,523.0,Yes,2,Yes
