lead_id,company_size,industry,page_views_30d,demo_attended,email_opens_30d,sales_calls,days_in_pipeline,Converted
L00524,201-1000,Healthcare,16,Yes,6,1,62,Yes
L00525,201-1000,Finance,12,Yes,6,4,63,Yes
L00526,11-50,Tech,9,Yes,7,0,19,No
L00527,11-50,Manufacturing,16,Yes,4,5,43,Yes
L00528,51-200,Finance,12,No,4,3,35,No
L00529,201-1000,Manufacturing,16,No,6,3,41,Yes
L00530,11-50,Healthcare,14,No,4,1,76,No
L00531,11-50,Healthcare,10,No,9,1,61,No
L00532,1-10,Manufacturing,13,No,5,4,3,Yes
L00533,1-10,Finance,19,No,7,3,45,No
L00534,11-50,Manufacturing,13,No,6,0,54,No
L00535,1-10,Manufacturing,8,No,7,2,69,No
L00536,1-10,Manufacturing,7,No,4,1,8,No
L00537,11-50,Tech,8,No,7,1,13,Yes
L00538,51-200,Manufacturing,13,No,4,1,20,No
L00539,1-10,Retail,17,Yes,3,4,49,Yes
L00540,51-200,Retail,12,Yes,3,1,63,Yes
L00541,51-200,Finance,14,Yes,5,4,82,Yes
L00542,51-200,Manufacturing,9,No,5,2,8,No
L00543,51-200,Retail,18,Yes,4,2,25,Yes
L00544,1-10,Manufacturing,6,No,3,1,45,No
L00545,1-10,Healthcare,17,No,6,1,86,No
L00546,201-1000,Healthcare,18,Yes,10,6,39,Yes
L00547,201-1000,Finance,13,Yes,7,1,35,Yes
L00548,1-10,Finance,13,Yes,3,1,65,No
L00549,51-200,Healthcare,18,No,5,1,60,No
L00550,1-10,Finance,17,No,6,1,85,No
L00551,1-10,Manufacturing,11,No,1,6,42,Yes
L00552,1-10,Retail,15,No,9,2,86,No
L00553,1-10,Manufacturing,15,No,10,2,80,No
L00554,11-50,Tech,12,Yes,5,2,65,Yes
L00555,201-1000,Healthcare,15,Yes,4,0,23,Yes
L00556,11-50,Manufacturing,9,No,7,0,45,Yes
L00557,1-10,Healthcare,5,No,4,3,49,Yes
L00558,1-10,Healthcare,8,No,6,4,72,Yes
L00559,1-10,Tech,8,Yes,6,2,44,No
L00560,1-10,Retail,10,No,6,2,89,Yes
L00561,11-50,Finance,10,No,3,3,18,No
L00562,11-50,Healthcare,14,Yes,6,5,85,No
L00563,1-10,Healthcare,10,Yes,1,2,36,Yes
L00564,11-50,Retail,19,No,7,3,79,Yes
L00565,1-10,Finance,12,No,3,6,41,No
L00566,51-200,Retail,11,Yes,5,2,88,Yes
L00567,11-50,Healthcare,14,No,4,5,80,No
L00568,1-10,Manufacturing,9,No,2,0,23,No
L00569,11-50,Healthcare,12,No,4,4,22,Yes
L00570,1-10,Tech,13,No,3,3,58,No
L00571,1-10,Manufacturing,11,Yes,7,3,57,Yes
L00572,1-10,Manufacturing,14,No,4,4,38,No
L00573,51-200,Manufacturing,6,No,3,2,18,No
L00574,1-10,Retail,7,No,9,2,32,Yes
L00575,201-1000,Healthcare,16,No,8,7,35,Yes
L00576,11-50,Healthcare,12,Yes,6,2,84,Yes
L00577,1-10,Tech,19,Yes,2,2,48,No
L00578,51-200,Manufacturing,13,Yes,6,2,38,Yes
L00579,51-200,Manufacturing,11,Yes,4,3,22,Yes
L00580,51-200,Tech,11,No,3,0,71,No
L00581,1-10,Retail,12,No,2,2,10,Yes
L00582,51-200,Manufacturing,12,Yes,4,1,35,Yes
L00583,51-200,Healthcare,10,Yes,3,3,39,No
L00584,11-50,Manufacturing,13,Yes,2,2,49,No
L00585,11-50,Manufacturing,14,Yes,8,1,10,Yes
L00586,11-50,Tech,13,No,5,1,11,No
L00587,1-10,Manufacturing,7,No,6,3,52,No
L00588,51-200,Manufacturing,10,No,4,1,75,No
L00589,51-200,Tech,13,No,10,1,16,No
L00590,51-200,Retail,11,No,3,2,40,No
L00591,11-50,Manufacturing,16,No,4,0,60,No
L00592,11-50,Healthcare,15,No,4,6,25,No
L00593,1-10,Tech,15,No,9,0,2,No
L00594,11-50,Healthcare,17,No,7,2,13,Yes
L00595,51-200,Manufacturing,10,Yes,7,2,30,Yes
L00596,201-1000,Tech,14,Yes,7,0,82,Yes
L00597,1-10,Tech,17,No,3,1,30,No
L00598,1-10,Manufacturing,8,No,2,0,49,No
L00599,1-10,Finance,6,No,11,5,80,Yes
L00600,11-50,Manufacturing,12,Yes,8,3,18,Yes
L00601,51-200,Tech,12,No,3,3,31,No
L00602,1-10,Retail,15,Yes,3,2,71,Yes
L00603,11-50,Finance,17,Yes,6,0,24,No
L00604,11-50,Manufacturing,8,Yes,3,2,24,Yes
L00605,51-200,Retail,8,Yes,6,5,74,Yes
L00606,1-10,Manufacturing,14,No,6,2,86,Yes
L00607,1-10,Finance,15,Yes,2,0,18,Yes
L00608,11-50,Finance,8,No,6,4,63,No
L00609,11-50,Healthcare,14,No,8,3,36,No
L00610,1-10,Manufacturing,11,No,3,0,84,No
L00611,51-200,Manufacturing,13,No,7,4,61,No
L00612,51-200,Finance,16,Yes,4,4,58,No
L00613,1-10,Manufacturing,12,Yes,5,2,71,Yes
L00614,11-50,Retail,8,No,5,0,81,No
L00615,51-200,Finance,21,Yes,3,3,35,Yes
L00616,201-1000,Healthcare,9,No,3,4,58,No
L00617,1-10,Manufacturing,13,No,5,1,8,No
L00618,51-200,Healthcare,10,No,7,2,29,No
L00619,1-10,Manufacturing,6,No,8,0,15,No
L00620,51-200,Retail,10,No,4,1,18,No
L00621,11-50,Manufacturing,12,No,6,2,80,No
L00622,201-1000,Manufacturing,17,Yes,6,3,84,Yes
L00623,11-50,Finance,8,No,2,1,53,No
L00624,1-10,Finance,8,No,6,2,60,No
L00625,51-200,Finance,17,Yes,6,0,67,Yes
L00626,1-10,Finance,15,Yes,3,0,9,No
L00627,51-200,Tech,12,No,5,3,4,No
L00628,1-10,Tech,18,No,8,2,3,Yes
L00629,11-50,Retail,13,No,4,0,67,No
L00630,51-200,Finance,11,No,3,2,86,No
L00631,1-10,Manufacturing,10,No,7,0,3,No
L00632,11-50,Retail,12,No,5,0,16,No
L00633,51-200,Finance,9,No,7,1,7,No
L00634,51-200,Tech,16,No,5,1,55,Yes
L00635,51-200,Tech,9,No,6,1,46,No
L00636,11-50,Retail,8,No,1,1,8,No
L00637,1-10,Healthcare,13,No,10,0,40,Yes
L00638,1-10,Finance,18,No,1,1,43,No
L00639,11-50,Retail,15,No,5,0,23,No
L00640,1-10,Healthcare,3,No,5,4,68,Yes
L00641,51-200,Tech,9,No,6,3,63,No
L00642,1-10,Tech,9,Yes,5,0,89,No
L00643,1-10,Manufacturing,8,No,8,2,5,No
L00644,201-1000,Finance,9,Yes,5,6,61,Yes
L00645,51-200,Manufacturing,10,Yes,4,1,13,Yes
L00646,1-10,Healthcare,18,Yes,5,2,86,Yes
L00647,11-50,Healthcare,9,No,7,0,88,No
L00648,51-200,Manufacturing,16,No,7,1,40,No
L00649,11-50,Finance,15,No,5,2,8,No
L00650,1-10,Tech,15,No,6,3,79,No
L00651,11-50,Manufacturing,10,No,10,2,56,Yes
L00652,51-200,Retail,13,Yes,2,1,69,No
L00653,1-10,Finance,17,Yes,7,3,77,Yes
L00654,201-1000,Healthcare,10,No,6,0,52,No
L00655,11-50,Tech,8,No,2,3,9,No
L00656,1-10,Manufacturing,16,Yes,6,1,18,Yes
L00657,51-200,Manufacturing,10,No,8,2,55,No
L00658,1-10,Healthcare,14,No,2,3,59,Yes
L00659,11-50,Tech,11,Yes,5,4,54,No
L00660,11-50,Manufacturing,14,Yes,4,2,28,Yes
L00661,1-10,Manufacturing,16,No,5,1,24,Yes
L00662,51-200,Manufacturing,11,Yes,5,1,33,No
L00663,51-200,Healthcare,10,No,3,1,74,No
L00664,1-10,Tech,18,Yes,3,2,20,Yes
L00665,1-10,Healthcare,9,No,8,2,32,No
L00666,1-10,Tech,6,No,5,0,39,No
L00667,11-50,Finance,11,Yes,3,1,23,No
L00668,1-10,Tech,8,Yes,7,2,86,Yes
L00669,11-50,Tech,10,Yes,3,4,50,No
L00670,51-200,Healthcare,14,Yes,6,2,1,Yes
L00671,51-200,Tech,11,Yes,4,2,35,Yes
L00672,1-10,Tech,11,Yes,9,4,55,Yes
L00673,11-50,Retail,13,Yes,4,1,2,Yes
L00674,11-50,Manufacturing,12,Yes,11,4,55,Yes
L00675,11-50,Retail,16,No,2,0,60,Yes
L00676,11-50,Healthcare,12,No,7,3,11,Yes
L00677,11-50,Healthcare,13,No,5,2,63,No
L00678,51-200,Tech,12,No,3,0,32,No
L00679,11-50,Healthcare,15,No,4,4,11,No
L00680,11-50,Retail,12,No,1,0,19,No
L00681,11-50,Healthcare,15,No,4,2,76,No
L00682,1-10,Healthcare,13,No,5,5,33,No
L00683,11-50,Tech,12,No,3,1,30,No
L00684,11-50,Tech,11,No,7,1,86,Yes
L00685,201-1000,Healthcare,17,No,8,0,63,Yes
L00686,51-200,Tech,14,Yes,1,2,37,No
L00687,1-10,Tech,13,No,7,0,42,No
L00688,1-10,Manufacturing,15,Yes,5,2,18,Yes
L00689,51-200,Finance,16,Yes,10,2,15,Yes
L00690,11-50,Tech,10,Yes,7,2,45,Yes
L00691,1-10,Finance,17,No,7,6,40,Yes
L00692,11-50,Tech,8,No,5,4,64,No
L00693,11-50,Manufacturing,12,No,7,1,46,No
L00694,51-200,Retail,8,Yes,8,3,86,Yes
L00695,51-200,Tech,15,No,4,2,18,No
L00696,201-1000,Finance,18,Yes,10,2,81,Yes
L00697,51-200,Tech,11,Yes,5,2,19,Yes
L00698,201-1000,Finance,16,Yes,1,4,43,Yes
L00699,1-10,Retail,12,No,4,0,45,No
L00700,11-50,Retail,11,No,1,2,82,No
L00701,1-10,Tech,21,No,5,0,35,No
L00702,51-200,Manufacturing,11,Yes,7,1,77,Yes
L00703,1-10,Manufacturing,12,Yes,5,4,46,Yes
L00704,11-50,Retail,14,No,4,0,78,Yes
L00705,11-50,Finance,10,Yes,6,3,87,No
L00706,51-200,Healthcare,9,Yes,6,1,72,Yes
L00707,11-50,Tech,8,No,6,1,19,No
L00708,1-10,Manufacturing,7,No,4,1,88,No
L00709,11-50,Tech,16,No,3,1,43,No
L00710,1-10,Tech,22,No,8,3,35,Yes
L00711,11-50,Finance,11,No,5,1,8,No
L00712,11-50,Retail,13,No,0,5,7,No
L00713,1-10,Finance,14,Yes,8,3,19,Yes
L00714,201-1000,Healthcare,13,No,3,2,65,No
L00715,11-50,Tech,6,No,4,2,40,No
L00716,11-50,Tech,9,No,4,3,48,No
L00717,51-200,Tech,15,Yes,8,0,58,Yes
L00718,1-10,Manufacturing,10,No,6,1,75,No
L00719,11-50,Manufacturing,16,No,7,4,67,Yes
L00720,201-1000,Manufacturing,12,Yes,8,2,66,No
L00721,1-10,Retail,14,No,8,1,54,No
L00722,51-200,Manufacturing,10,No,8,3,58,No
L00723,1-10,Finance,15,No,2,2,82,No
L00724,11-50,Tech,13,Yes,9,1,44,No
L00725,51-200,Finance,19,No,7,1,72,No
L00726,1-10,Retail,15,No,2,3,80,No
L00727,11-50,Manufacturing,13,No,7,2,40,No
L00728,11-50,Retail,20,No,6,3,18,No
L00729,11-50,Tech,14,Yes,4,1,15,Yes
L00730,1-10,Healthcare,10,Yes,7,2,18,Yes
L00731,11-50,Manufacturing,8,Yes,6,2,55,Yes
L00732,201-1000,Healthcare,13,Yes,3,2,86,Yes
L00733,11-50,Tech,12,Yes,3,2,57,Yes
L00734,51-200,Retail,3,No,5,2,9,No
L00735,1-10,Retail,9,No,4,0,67,No
L00736,11-50,Finance,11,Yes,2,1,31,No
L00737,11-50,Finance,15,No,6,3,72,Yes
L00738,11-50,Finance,4,No,2,3,89,No
L00739,51-200,Tech,14,Yes,3,1,51,Yes
L00740,51-200,Retail,10,No,6,2,47,No
L00741,51-200,Healthcare,15,Yes,5,3,21,Yes
L00742,51-200,Manufacturing,12,No,3,1,17,No
L00743,51-200,Tech,12,No,7,3,53,Yes
L00744,11-50,Retail,10,Yes,4,0,65,Yes
L00745,51-200,Tech,14,No,5,1,56,Yes
L00746,11-50,Tech,13,No,3,2,73,Yes
L00747,1-10,Finance,11,No,7,2,65,No
L00748,1-10,Retail,17,Yes,8,3,52,Yes
L00749,51-200,Manufacturing,13,Yes,2,2,81,Yes
L00750,11-50,Healthcare,14,Yes,8,3,23,Yes
L00751,1-10,Retail,12,Yes,1,2,82,Yes
L00752,11-50,Retail,17,Yes,8,2,9,Yes
L00753,1-10,Finance,10,Yes,3,4,11,Yes
L00754,11-50,Manufacturing,6,Yes,4,1,41,No
L00755,11-50,Retail,11,Yes,7,2,58,Yes
L00756,51-200,Healthcare,14,No,3,3,70,No
L00757,1-10,Tech,5,Yes,5,0,72,Yes
L00758,1-10,Manufacturing,10,No,5,0,81,No
L00759,11-50,Manufacturing,18,No,2,3,2,Yes
L00760,51-200,Finance,13,Yes,1,1,6,No
L00761,51-200,Retail,10,No,8,1,13,Yes
L00762,11-50,Finance,12,No,10,4,59,No
L00763,11-50,Retail,12,No,4,0,61,No
L00764,51-200,Manufacturing,12,No,6,6,45,No
L00765,51-200,Manufacturing,17,No,4,1,38,Yes
L00766,11-50,Manufacturing,13,Yes,5,3,23,No
L00767,51-200,Tech,17,No,5,4,4,Yes
L00768,11-50,Manufacturing,9,No,12,2,88,No
L00769,1-10,Finance,13,No,4,2,38,No
L00770,1-10,Finance,10,No,5,3,39,Yes
L00771,51-200,Manufacturing,8,No,2,3,88,No
L00772,51-200,Finance,10,No,6,0,78,No
L00773,11-50,Finance,11,No,2,2,79,No
L00774,51-200,Retail,16,Yes,3,3,3,Yes
L00775,1-10,Manufacturing,8,No,3,0,45,No
L00776,11-50,Manufacturing,9,Yes,6,1,79,Yes
L00777,11-50,Manufacturing,6,No,5,4,18,No
L00778,11-50,Tech,14,Yes,8,1,69,Yes
L00779,1-10,Retail,18,No,2,2,15,No
L00780,11-50,Manufacturing,12,Yes,8,0,35,Yes
L00781,51-200,Tech,9,No,1,0,10,No
L00782,11-50,Tech,14,No,4,5,84,Yes
L00783,51-200,Manufacturing,18,Yes,8,1,24,Yes
L00784,11-50,Finance,9,Yes,6,0,11,Yes
L00785,51-200,Retail,22,Yes,5,2,79,Yes
L00786,11-50,Healthcare,16,No,6,2,66,No
L00787,51-200,Tech,18,Yes,2,4,34,No
L00788,11-50,Healthcare,13,No,8,0,10,No
L00789,51-200,Tech,12,No,8,6,9,Yes
L00790,1-10,Tech,6,Yes,4,1,18,Yes
L00791,1-10,Finance,14,Yes,8,3,45,Yes
L00792,201-1000,Retail,15,No,8,3,46,Yes
L00793,11-50,Tech,13,Yes,3,3,5,No
L00794,1-10,Finance,12,No,8,2,89,No
L00795,11-50,Manufacturing,9,Yes,4,3,72,No
L00796,201-1000,Tech,14,No,2,1,86,No
L00797,51-200,Manufacturing,8,No,8,1,55,No
L00798,201-1000,Finance,13,No,6,2,41,No
L00799,201-1000,Tech,14,No,3,2,40,No
L00800,11-50,Manufacturing,13,Yes,6,1,85,No
L00801,1-10,Tech,8,No,4,2,16,No
L00802,1-10,Tech,11,No,4,2,59,No
L00803,1-10,Retail,12,No,7,5,67,No
L00804,11-50,Healthcare,9,Yes,7,3,79,Yes
L00805,201-1000,Retail,6,No,7,1,64,No
L00806,1-10,Manufacturing,13,No,6,2,88,No
L00807,51-200,Finance,11,Yes,4,1,38,No
L00808,51-200,Tech,10,Yes,5,1,82,Yes
L00809,51-200,Finance,15,No,9,1,6,No
L00810,1-10,Tech,14,No,6,1,8,No
L00811,1-10,Manufacturing,13,No,5,2,49,No
L00812,51-200,Tech,17,Yes,3,4,17,Yes
L00813,11-50,Manufacturing,17,No,6,2,69,No
L00814,11-50,Manufacturing,11,No,7,2,52,No
L00815,11-50,Healthcare,12,Yes,4,0,24,No
L00816,1-10,Tech,13,Yes,5,2,13,No
L00817,201-1000,Tech,13,No,2,2,88,Yes
L00818,51-200,Manufacturing,14,No,1,4,37,No
L00819,201-1000,Manufacturing,5,Yes,2,3,70,Yes
L00820,51-200,Healthcare,8,Yes,6,3,52,Yes
L00821,11-50,Healthcare,15,Yes,4,3,6,Yes
L00822,51-200,Retail,9,Yes,3,2,16,Yes
L00823,1-10,Tech,7,Yes,5,0,21,No
L00824,51-200,Retail,10,Yes,9,4,31,Yes
L00825,1-10,Healthcare,14,No,0,0,5,No
L00826,11-50,Tech,15,Yes,5,3,55,Yes
L00827,51-200,Manufacturing,8,No,4,6,28,Yes
L00828,11-50,Healthcare,11,No,0,2,2,No
L00829,51-200,Tech,10,Yes,10,2,81,Yes
L00830,11-50,Retail,18,No,4,3,31,Yes
L00831,1-10,Tech,7,No,3,0,15,No
L00832,1-10,Retail,13,No,4,3,26,No
L00833,1-10,Healthcare,15,No,5,4,47,No
L00834,11-50,Healthcare,8,No,5,3,3,Yes
L00835,51-200,Manufacturing,12,No,8,1,33,No
L00836,1-10,Healthcare,15,No,6,2,20,No
L00837,11-50,Manufacturing,18,Yes,5,0,80,No
L00838,201-1000,Manufacturing,9,No,2,2,74,No
L00839,11-50,Tech,14,Yes,6,2,2,Yes
L00840,201-1000,Healthcare,9,No,5,1,70,No
L00841,51-200,Tech,17,No,2,2,88,Yes
L00842,11-50,Retail,11,No,8,2,78,No
L00843,11-50,Finance,8,No,6,2,14,No
L00844,1-10,Healthcare,7,No,5,3,52,No
L00845,11-50,Manufacturing,20,No,4,4,14,No
L00846,51-200,Tech,11,Yes,3,1,66,No
L00847,1-10,Manufacturing,12,No,8,3,79,Yes
L00848,1-10,Retail,12,No,4,2,40,No
L00849,1-10,Healthcare,13,No,9,2,26,No
L00850,1-10,Healthcare,18,No,9,0,7,No
L00851,1-10,Healthcare,8,No,3,2,23,No
L00852,51-200,Finance,11,No,5,1,35,Yes
L00853,11-50,Manufacturing,10,No,8,3,3,No
L00854,11-50,Retail,13,No,7,0,49,No
L00855,11-50,Manufacturing,11,No,10,0,85,No
L00856,1-10,Retail,20,Yes,5,1,10,No
L00857,11-50,Healthcare,16,No,3,4,66,Yes
L00858,51-200,Manufacturing,15,Yes,10,1,71,No
L00859,1-10,Healthcare,7,No,4,2,29,No
L00860,11-50,Retail,12,No,3,2,56,Yes
L00861,11-50,Retail,10,No,3,1,65,No
L00862,201-1000,Retail,12,No,6,2,41,No
L00863,1-10,Healthcare,14,No,5,3,20,No
L00864,11-50,Manufacturing,9,No,6,2,82,No
L00865,11-50,Manufacturing,12,Yes,4,1,64,No
L00866,1-10,Manufacturing,14,Yes,6,3,33,Yes
L00867,11-50,Healthcare,7,No,6,1,22,No
L00868,201-1000,Retail,13,No,7,0,73,Yes
L00869,1-10,Healthcare,7,No,5,3,34,No
L00870,11-50,Healthcare,18,No,7,1,57,No
L00871,1-10,Tech,9,Yes,2,2,77,Yes
L00872,11-50,Tech,9,No,8,1,19,No
L00873,201-1000,Finance,12,No,7,2,68,No
L00874,11-50,Finance,10,No,5,1,7,No
L00875,1-10,Tech,12,No,4,2,49,No
L00876,11-50,Healthcare,18,No,0,1,82,Yes
L00877,11-50,Retail,15,Yes,4,4,51,Yes
L00878,51-200,Finance,7,No,5,5,56,No
L00879,11-50,Retail,11,Yes,5,4,1,Yes
L00880,11-50,Manufacturing,9,No,4,3,37,No
L00881,51-200,Manufacturing,14,Yes,4,1,26,Yes
L00882,1-10,Healthcare,8,Yes,11,0,37,Yes
L00883,201-1000,Tech,12,No,4,3,69,No
L00884,11-50,Finance,10,No,5,3,71,No
L00885,11-50,Healthcare,10,No,4,1,4,Yes
L00886,51-200,Retail,8,No,3,1,88,No
L00887,1-10,Tech,10,No,0,2,54,No
L00888,1-10,Tech,9,No,5,1,13,No
L00889,1-10,Manufacturing,18,No,9,2,79,No
L00890,51-200,Manufacturing,11,No,3,4,78,No
L00891,1-10,Retail,7,Yes,4,3,16,Yes
L00892,11-50,Tech,10,No,4,0,85,No
L00893,1-10,Retail,13,No,3,5,49,Yes
L00894,11-50,Healthcare,12,No,8,1,39,No
L00895,1-10,Manufacturing,12,No,2,2,1,Yes
L00896,51-200,Retail,14,Yes,6,4,21,Yes
L00897,201-1000,Finance,9,Yes,4,0,87,No
L00898,11-50,Retail,15,Yes,4,0,42,Yes
L00899,11-50,Finance,12,Yes,4,2,75,No
L00900,11-50,Retail,9,No,5,1,28,No
L00901,51-200,Finance,13,No,4,3,60,No
L00902,1-10,Retail,15,Yes,5,3,35,Yes
L00903,51-200,Tech,14,No,2,2,62,No
L00904,51-200,Tech,10,No,3,1,67,No
L00905,51-200,Tech,12,No,2,3,82,No
L00906,11-50,Tech,16,No,10,3,38,Yes
L00907,51-200,Manufacturing,9,Yes,3,2,41,No
L00908,11-50,Manufacturing,16,No,3,1,45,No
L00909,1-10,Finance,9,No,4,3,50,No
L00910,1-10,Finance,17,No,5,2,25,No
L00911,11-50,Tech,9,Yes,6,2,4,Yes
L00912,11-50,Healthcare,12,Yes,8,0,3,Yes
L00913,51-200,Tech,11,Yes,7,1,62,Yes
L00914,51-200,Healthcare,8,Yes,7,3,13,Yes
L00915,1-10,Finance,8,No,5,2,53,No
L00916,11-50,Retail,8,Yes,4,3,65,Yes
L00917,51-200,Tech,10,Yes,6,2,67,Yes
L00918,11-50,Retail,6,Yes,9,1,1,Yes
L00919,1-10,Manufacturing,16,No,2,1,7,No
L00920,201-1000,Finance,13,No,6,1,12,No
L00921,11-50,Finance,13,No,4,2,53,No
L00922,11-50,Tech,8,No,7,4,37,Yes
L00923,11-50,Finance,11,Yes,8,1,6,Yes
L00924,11-50,Finance,11,No,4,1,35,No
L00925,1-10,Manufacturing,15,No,11,1,8,No
L00926,51-200,Tech,13,Yes,5,2,75,No
L00927,51-200,Healthcare,15,No,9,4,36,Yes
L00928,11-50,Finance,7,Yes,6,3,67,No
L00929,1-10,Retail,21,No,7,3,87,Yes
L00930,11-50,Retail,10,No,5,2,46,No
L00931,11-50,Manufacturing,12,No,2,2,73,Yes
L00932,11-50,Tech,17,No,6,1,31,No
L00933,1-10,Finance,15,No,4,0,85,No
L00934,51-200,Finance,15,No,7,2,42,No
L00935,1-10,Tech,19,No,3,3,72,No
L00936,1-10,Healthcare,5,No,7,0,39,No
L00937,51-200,Finance,13,No,5,2,21,Yes
L00938,51-200,Manufacturing,21,No,5,4,72,No
L00939,1-10,Finance,14,No,4,3,12,Yes
L00940,1-10,Healthcare,14,Yes,4,3,81,Yes
L00941,11-50,Finance,10,No,8,2,34,Yes
L00942,201-1000,Manufacturing,15,No,4,3,1,Yes
L00943,1-10,Finance,5,Yes,7,5,86,Yes
L00944,11-50,Manufacturing,14,No,4,6,68,No
L00945,1-10,Finance,13,Yes,6,1,43,No
L00946,51-200,Finance,6,No,4,2,20,No
L00947,11-50,Healthcare,11,No,5,2,60,No
L00948,11-50,Finance,14,No,8,0,2,No
L00949,51-200,Healthcare,13,No,6,3,85,Yes
L00950,11-50,Retail,14,No,3,0,88,No
L00951,1-10,Healthcare,3,No,5,4,15,No
L00952,11-50,Manufacturing,7,No,5,2,29,No
L00953,201-1000,Retail,8,No,6,4,68,No
L00954,51-200,Manufacturing,13,No,2,1,12,No
L00955,11-50,Retail,5,No,7,1,79,No
L00956,51-200,Retail,11,No,3,1,71,No
L00957,1-10,Manufacturing,9,No,5,2,79,No
L00958,11-50,Retail,16,Yes,4,3,72,Yes
L00959,51-200,Retail,10,Yes,6,1,67,Yes
L00960,1-10,Healthcare,8,Yes,5,1,72,No
L00961,201-1000,Finance,16,No,5,2,63,No
L00962,51-200,Manufacturing,3,No,4,3,3,No
L00963,51-200,Healthcare,12,No,6,3,64,No
L00964,11-50,Healthcare,15,Yes,8,5,86,Yes
L00965,1-10,Finance,17,No,2,2,5,No
L00966,1-10,Healthcare,13,No,5,0,78,Yes
L00967,51-200,Finance,13,Yes,4,0,81,Yes
L00968,11-50,Retail,9,No,6,3,58,No
L00969,51-200,Tech,7,No,6,4,35,No
L00970,1-10,Healthcare,17,No,3,1,65,No
L00971,51-200,Manufacturing,12,Yes,6,1,63,No
L00972,51-200,Tech,8,No,4,0,84,No
L00973,51-200,Retail,7,Yes,6,1,33,No
L00974,1-10,Healthcare,18,No,7,3,47,No
L00975,1-10,Manufacturing,10,No,4,4,67,No
L00976,1-10,Healthcare,15,No,5,3,79,No
L00977,1-10,Retail,7,No,8,4,50,No
L00978,51-200,Retail,7,No,2,2,15,No
L00979,11-50,Tech,17,Yes,9,2,13,Yes
L00980,51-200,Tech,12,No,2,3,37,No
L00981,1-10,Retail,11,No,0,2,36,No
L00982,11-50,Finance,14,No,6,1,58,No
L00983,51-200,Tech,11,Yes,3,4,66,Yes
L00984,201-1000,Manufacturing,15,No,6,3,29,Yes
L00985,1-10,Healthcare,13,No,9,2,32,Yes
L00986,51-200,Tech,21,Yes,5,2,1,Yes
L00987,11-50,Tech,6,No,7,0,48,No
L00988,1-10,Healthcare,10,No,6,4,24,No
L00989,11-50,Manufacturing,12,No,6,1,13,Yes
L00990,1-10,Manufacturing,9,No,2,2,60,Yes
L00991,11-50,Manufacturing,9,Yes,6,1,39,No
L00992,201-1000,Retail,10,No,3,2,33,No
L00993,51-200,Healthcare,13,No,6,2,89,No
L00994,1-10,Healthcare,8,Yes,3,3,78,Yes
L00995,51-200,Manufacturing,12,No,8,3,18,Yes
L00996,1-10,Tech,15,No,2,0,21,No
L00997,51-200,Retail,12,No,5,2,19,No
L00998,11-50,Finance,15,No,2,2,64,No
L00999,11-50,Finance,11,Yes,5,2,70,Yes
L01000,1-10,Manufacturing,17,No,5,0,51,No
L01001,1-10,Tech,7,Yes,4,1,26,Yes
L01002,11-50,Tech,13,Yes,4,1,10,No
L01003,11-50,Retail,10,Yes,3,2,10,Yes
L01004,51-200,Retail,6,Yes,6,1,53,No
L01005,1-10,Retail,13,No,3,2,35,No
L01006,11-50,Manufacturing,11,No,5,1,23,No
L01007,1-10,Finance,13,Yes,9,2,67,Yes
L01008,11-50,Healthcare,12,Yes,3,0,29,No
L01009,201-1000,Manufacturing,10,No,4,0,89,No
L01010,1-10,Tech,15,No,10,1,10,No
L01011,51-200,Manufacturing,13,No,6,1,88,No
L01012,1-10,Finance,16,No,5,3,13,No
L01013,51-200,Retail,11,No,3,2,12,Yes
L01014,11-50,Tech,11,Yes,7,1,53,Yes
L01015,1-10,Retail,12,No,6,2,55,No
L01016,51-200,Healthcare,19,Yes,4,3,54,Yes
L01017,51-200,Retail,17,Yes,5,1,13,Yes
L01018,1-10,Retail,9,Yes,5,4,88,Yes
L01019,1-10,Finance,7,No,5,5,56,Yes
L01020,1-10,Retail,14,No,3,2,70,No
L01021,11-50,Healthcare,11,Yes,2,1,11,Yes
L01022,201-1000,Finance,10,No,7,3,16,Yes
L01023,51-200,Healthcare,17,No,5,2,68,Yes
L01024,11-50,Tech,13,No,4,2,68,No
L01025,1-10,Healthcare,11,No,7,0,89,No
L01026,11-50,Tech,9,No,7,0,4,No
L01027,11-50,Manufacturing,14,Yes,8,1,89,Yes
L01028,1-10,Finance,14,No,0,3,76,No
L01029,11-50,Manufacturing,16,No,3,1,10,Yes
L01030,201-1000,Manufacturing,15,No,7,2,6,No
L01031,1-10,Healthcare,13,No,8,5,83,Yes
L01032,11-50,Tech,17,Yes,7,1,71,Yes
L01033,51-200,Retail,15,Yes,3,2,40,No
L01034,1-10,Manufacturing,9,No,5,3,32,No
L01035,1-10,Finance,7,No,5,3,37,No
L01036,1-10,Tech,14,No,3,2,73,No
L01037,51-200,Manufacturing,8,No,9,0,5,No
L01038,1-10,Retail,10,No,5,4,14,No
L01039,1-10,Finance,9,Yes,4,3,43,Yes
L01040,11-50,Finance,14,Yes,2,2,5,Yes
L01041,51-200,Retail,11,No,6,3,73,No
L01042,51-200,Tech,15,No,6,3,45,No
L01043,11-50,Manufacturing,15,No,2,3,54,No
L01044,201-1000,Retail,15,Yes,6,0,44,Yes
L01045,1-10,Finance,15,No,7,2,43,Yes
